Layout	Strain	well_id	Concentration	Strain_replicate
96-1	3061	A1	0.01	1
96-1	GB117	A2	0.01	1
96-1	2931	A3	0.01	1
96-1	2344	A4	0.01	1
96-1	1691	A5	0.01	1
96-1	3073	A6	0.01	1
96-1	GB66	A7	0.01	1
96-1	GB119	A8	0.01	1
96-1	2343	A9	0.01	1
96-1	3086	A10	0.01	1
96-1	1690	A11	0.01	1
96-1	3060	A12	0.01	1
96-1	3076	B1	0.01	1
96-1	GB13	B2	0.01	1
96-1	124	B3	0.01	1
96-1	1952	B4	0.01	1
96-1	2932	B5	0.01	1
96-1	3062	B6	0.01	1
96-1	3083	B7	0.01	1
96-1	3075	B8	0.01	1
96-1	2342	B9	0.01	1
96-1	GB13	C1	0.01	2
96-1	2344	C2	0.01	2
96-1	2931	C3	0.01	2
96-1	1691	C4	0.01	2
96-1	3075	C5	0.01	2
96-1	3061	C6	0.01	2
96-1	2932	C7	0.01	2
96-1	1952	C8	0.01	2
96-1	3083	C9	0.01	2
96-1	GB117	C10	0.01	2
96-1	3062	C11	0.01	2
96-1	1690	C12	0.01	2
96-1	GB66	D1	0.01	2
96-1	2342	D2	0.01	2
96-1	GB119	D3	0.01	2
96-1	124	D4	0.01	2
96-1	3073	D5	0.01	2
96-1	3086	D6	0.01	2
96-1	2343	D7	0.01	2
96-1	3076	D8	0.01	2
96-1	3060	D9	0.01	2
96-1	1952	E1	0.01	3
96-1	2343	E2	0.01	3
96-1	3061	E3	0.01	3
96-1	3076	E4	0.01	3
96-1	1690	E5	0.01	3
96-1	3075	E6	0.01	3
96-1	3060	E7	0.01	3
96-1	3062	E8	0.01	3
96-1	GB13	E9	0.01	3
96-1	2931	E10	0.01	3
96-1	GB119	E11	0.01	3
96-1	124	E12	0.01	3
96-1	GB66	F1	0.01	3
96-1	2344	F2	0.01	3
96-1	1691	F3	0.01	3
96-1	2932	F4	0.01	3
96-1	3086	F5	0.01	3
96-1	2342	F6	0.01	3
96-1	3073	F7	0.01	3
96-1	3083	F8	0.01	3
96-1	GB117	F9	0.01	3
96-1	Blank	G1	0.01	1
96-1	Blank	G2	0.01	2
96-1	Blank	G3	0.01	3
96-2	3061	A1	0.1	1
96-1	GB117	A2	0.1	1
96-1	2931	A3	0.1	1
96-1	2344	A4	0.1	1
96-1	1691	A5	0.1	1
96-1	3073	A6	0.1	1
96-1	GB66	A7	0.1	1
96-1	GB119	A8	0.1	1
96-1	2343	A9	0.1	1
96-1	3086	A10	0.1	1
96-1	1690	A11	0.1	1
96-1	3060	A12	0.1	1
96-1	3076	B1	0.1	1
96-1	GB13	B2	0.1	1
96-1	124	B3	0.1	1
96-1	1952	B4	0.1	1
96-1	2932	B5	0.1	1
96-1	3062	B6	0.1	1
96-1	3083	B7	0.1	1
96-1	3075	B8	0.1	1
96-1	2342	B9	0.1	1
96-2	GB13	C1	0.1	2
96-2	2344	C2	0.1	2
96-2	2931	C3	0.1	2
96-2	1691	C4	0.1	2
96-2	3075	C5	0.1	2
96-2	3061	C6	0.1	2
96-2	2932	C7	0.1	2
96-2	1952	C8	0.1	2
96-2	3083	C9	0.1	2
96-2	GB117	C10	0.1	2
96-2	3062	C11	0.1	2
96-2	1690	C12	0.1	2
96-2	GB66	D1	0.1	2
96-2	2342	D2	0.1	2
96-2	GB119	D3	0.1	2
96-2	124	D4	0.1	2
96-2	3073	D5	0.1	2
96-2	3086	D6	0.1	2
96-2	2343	D7	0.1	2
96-2	3076	D8	0.1	2
96-2	3060	D9	0.1	2
96-2	1952	E1	0.1	3
96-2	2343	E2	0.1	3
96-2	3061	E3	0.1	3
96-2	3076	E4	0.1	3
96-2	1690	E5	0.1	3
96-2	3075	E6	0.1	3
96-2	3060	E7	0.1	3
96-2	3062	E8	0.1	3
96-2	GB13	E9	0.1	3
96-2	2931	E10	0.1	3
96-2	GB119	E11	0.1	3
96-2	124	E12	0.1	3
96-2	GB66	F1	0.1	3
96-2	2344	F2	0.1	3
96-2	1691	F3	0.1	3
96-2	2932	F4	0.1	3
96-2	3086	F5	0.1	3
96-2	2342	F6	0.1	3
96-2	3073	F7	0.1	3
96-2	3083	F8	0.1	3
96-2	GB117	F9	0.1	3
96-2	Blank	G1	0	1
96-2	Blank	G2	0	2
96-2	Blank	G3	0	3
96-3	3061	A1	0.8	1
96-3	GB117	A2	0.8	1
96-3	2931	A3	0.8	1
96-3	2344	A4	0.8	1
96-3	1691	A5	0.8	1
96-3	3073	A6	0.8	1
96-3	GB66	A7	0.8	1
96-3	GB119	A8	0.8	1
96-3	2343	A9	0.8	1
96-3	3086	A10	0.8	1
96-3	1690	A11	0.8	1
96-3	3060	A12	0.8	1
96-3	3076	B1	0.8	1
96-3	GB13	B2	0.8	1
96-3	124	B3	0.8	1
96-3	1952	B4	0.8	1
96-3	2932	B5	0.8	1
96-3	3062	B6	0.8	1
96-3	3083	B7	0.8	1
96-3	3075	B8	0.8	1
96-3	2342	B9	0.8	1
96-3	GB13	C1	0.8	2
96-3	2344	C2	0.8	2
96-3	2931	C3	0.8	2
96-3	1691	C4	0.8	2
96-3	3075	C5	0.8	2
96-3	3061	C6	0.8	2
96-3	2932	C7	0.8	2
96-3	1952	C8	0.8	2
96-3	3083	C9	0.8	2
96-3	GB117	C10	0.8	2
96-3	3062	C11	0.8	2
96-3	1690	C12	0.8	2
96-3	GB66	D1	0.8	2
96-3	2342	D2	0.8	2
96-3	GB119	D3	0.8	2
96-3	124	D4	0.8	2
96-3	3073	D5	0.8	2
96-3	3086	D6	0.8	2
96-3	2343	D7	0.8	2
96-3	3076	D8	0.8	2
96-3	3060	D9	0.8	2
96-3	1952	E1	0.8	3
96-3	2343	E2	0.8	3
96-3	3061	E3	0.8	3
96-3	3076	E4	0.8	3
96-3	1690	E5	0.8	3
96-3	3075	E6	0.8	3
96-3	3060	E7	0.8	3
96-3	3062	E8	0.8	3
96-3	GB13	E9	0.8	3
96-3	2931	E10	0.8	3
96-3	GB119	E11	0.8	3
96-3	124	E12	0.8	3
96-3	GB66	F1	0.8	3
96-3	2344	F2	0.8	3
96-3	1691	F3	0.8	3
96-3	2932	F4	0.8	3
96-3	3086	F5	0.8	3
96-3	2342	F6	0.8	3
96-3	3073	F7	0.8	3
96-3	3083	F8	0.8	3
96-3	GB117	F9	0.8	3
96-3	Blank	G1	0	1
96-3	Blank	G2	0	2
96-3	Blank	G3	0	3
