Plate_id	ABS650	ABS750	well_id	Date	plate_type
1	0.091	0.091	A1	07302019	96
1	0.095	0.098	A2	07302019	96
1	0.097	0.096	A3	07302019	96
1	0.091	0.093	A4	07302019	96
1	0.09	0.093	A5	07302019	96
1	0.089	0.093	A6	07302019	96
1	0.097	0.097	A7	07302019	96
1	0.097	0.099	A8	07302019	96
1	0.095	0.096	A9	07302019	96
1	0.101	0.097	A10	07302019	96
1	0.088	0.089	A11	07302019	96
1	0.086	0.091	A12	07302019	96
1	0.085	0.088	B1	07302019	96
1	0.087	0.09	B2	07302019	96
1	0.079	0.085	B3	07302019	96
1	0.096	0.097	B4	07302019	96
1	0.09	0.091	B5	07302019	96
1	0.102	0.104	B6	07302019	96
1	0.095	0.097	B7	07302019	96
1	0.085	0.089	B8	07302019	96
1	0.097	0.098	B9	07302019	96
1	0.08	0.085	B10	07302019	96
1	0.082	0.088	B11	07302019	96
1	0.08	0.085	B12	07302019	96
1	0.087	0.09	C1	07302019	96
1	0.092	0.093	C2	07302019	96
1	0.094	0.096	C3	07302019	96
1	0.088	0.092	C4	07302019	96
1	0.083	0.087	C5	07302019	96
1	0.1	0.1	C6	07302019	96
1	0.092	0.095	C7	07302019	96
1	0.091	0.094	C8	07302019	96
1	0.092	0.093	C9	07302019	96
1	0.091	0.096	C10	07302019	96
1	0.094	0.096	C11	07302019	96
1	0.095	0.095	C12	07302019	96
1	0.086	0.087	D1	07302019	96
1	0.091	0.095	D2	07302019	96
1	0.095	0.096	D3	07302019	96
1	0.082	0.088	D4	07302019	96
1	0.084	0.09	D5	07302019	96
1	0.094	0.096	D6	07302019	96
1	0.094	0.095	D7	07302019	96
1	0.095	0.096	D8	07302019	96
1	0.094	0.097	D9	07302019	96
1	0.08	0.086	D10	07302019	96
1	0.081	0.087	D11	07302019	96
1	0.085	0.09	D12	07302019	96
1	0.091	0.092	E1	07302019	96
1	0.096	0.096	E2	07302019	96
1	0.091	0.091	E3	07302019	96
1	0.101	0.099	E4	07302019	96
1	0.095	0.095	E5	07302019	96
1	0.087	0.091	E6	07302019	96
1	0.09	0.093	E7	07302019	96
1	0.099	0.098	E8	07302019	96
1	0.092	0.093	E9	07302019	96
1	0.099	0.099	E10	07302019	96
1	0.096	0.099	E11	07302019	96
1	0.083	0.089	E12	07302019	96
1	0.09	0.093	F1	07302019	96
1	0.086	0.088	F2	07302019	96
1	0.086	0.088	F3	07302019	96
1	0.091	0.092	F4	07302019	96
1	0.09	0.092	F5	07302019	96
1	0.091	0.092	F6	07302019	96
1	0.088	0.091	F7	07302019	96
1	0.088	0.089	F8	07302019	96
1	0.098	0.099	F9	07302019	96
1	0.077	0.082	F10	07302019	96
1	0.079	0.084	F11	07302019	96
1	0.078	0.084	F12	07302019	96
1	0.081	0.086	G1	07302019	96
1	0.078	0.082	G2	07302019	96
1	0.078	0.083	G3	07302019	96
1	0.083	0.082	G4	07302019	96
1	0.083	0.081	G5	07302019	96
1	0.084	0.083	G6	07302019	96
1	0.084	0.081	G7	07302019	96
1	0.084	0.081	G8	07302019	96
1	0.082	0.08	G9	07302019	96
1	0.083	0.079	G10	07302019	96
1	0.083	0.081	G11	07302019	96
1	0.083	0.08	G12	07302019	96
1	0.083	0.081	H1	07302019	96
1	0.086	0.081	H2	07302019	96
1	0.083	0.081	H3	07302019	96
1	0.083	0.081	H4	07302019	96
1	0.083	0.08	H5	07302019	96
1	0.084	0.08	H6	07302019	96
1	0.083	0.08	H7	07302019	96
1	0.083	0.08	H8	07302019	96
1	0.083	0.079	H9	07302019	96
1	0.084	0.08	H10	07302019	96
1	0.083	0.08	H11	07302019	96
1	0.084	0.08	H12	07302019	96
2	0.156	0.141	A1	07302019	96
2	0.255	0.212	A2	07302019	96
2	0.263	0.21	A3	07302019	96
2	0.2	0.182	A4	07302019	96
2	0.209	0.173	A5	07302019	96
2	0.117	0.113	A6	07302019	96
2	0.168	0.154	A7	07302019	96
2	0.167	0.148	A8	07302019	96
2	0.217	0.186	A9	07302019	96
2	0.174	0.165	A10	07302019	96
2	0.164	0.142	A11	07302019	96
2	0.216	0.176	A12	07302019	96
2	0.141	0.133	B1	07302019	96
2	0.12	0.115	B2	07302019	96
2	0.095	0.097	B3	07302019	96
2	0.19	0.169	B4	07302019	96
