

Actual Temperature:	0.0



Actual Temperature:	0.0

Results

Well	Read 1:650	Read 2:750
A1	0.091	0.091
A2	0.095	0.098
A3	0.097	0.096
A4	0.091	0.093
A5	0.090	0.093
A6	0.089	0.093
A7	0.097	0.097
A8	0.097	0.099
A9	0.095	0.096
A10	0.101	0.097
A11	0.088	0.089
A12	0.086	0.091
B1	0.085	0.088
B2	0.087	0.090
B3	0.079	0.085
B4	0.096	0.097
B5	0.090	0.091
B6	0.102	0.104
B7	0.095	0.097
B8	0.085	0.089
B9	0.097	0.098
B10	0.080	0.085
B11	0.082	0.088
B12	0.080	0.085
C1	0.087	0.090
C2	0.092	0.093
C3	0.094	0.096
C4	0.088	0.092
C5	0.083	0.087
C6	0.100	0.100
C7	0.092	0.095
C8	0.091	0.094
C9	0.092	0.093
C10	0.091	0.096
C11	0.094	0.096
C12	0.095	0.095
D1	0.086	0.087
D2	0.091	0.095
D3	0.095	0.096
D4	0.082	0.088
D5	0.084	0.090
D6	0.094	0.096
D7	0.094	0.095
D8	0.095	0.096
D9	0.094	0.097
D10	0.080	0.086
D11	0.081	0.087
D12	0.085	0.090
E1	0.091	0.092
E2	0.096	0.096
E3	0.091	0.091
E4	0.101	0.099
E5	0.095	0.095
E6	0.087	0.091
E7	0.090	0.093
E8	0.099	0.098
E9	0.092	0.093
E10	0.099	0.099
E11	0.096	0.099
E12	0.083	0.089
F1	0.090	0.093
F2	0.086	0.088
F3	0.086	0.088
F4	0.091	0.092
F5	0.090	0.092
F6	0.091	0.092
F7	0.088	0.091
F8	0.088	0.089
F9	0.098	0.099
F10	0.077	0.082
F11	0.079	0.084
F12	0.078	0.084
G1	0.081	0.086
G2	0.078	0.082
G3	0.078	0.083
G4	0.083	0.082
G5	0.083	0.081
G6	0.084	0.083
G7	0.084	0.081
G8	0.084	0.081
G9	0.082	0.080
G10	0.083	0.079
G11	0.083	0.081
G12	0.083	0.080
H1	0.083	0.081
H2	0.086	0.081
H3	0.083	0.081
H4	0.083	0.081
H5	0.083	0.080
H6	0.084	0.080
H7	0.083	0.080
H8	0.083	0.080
H9	0.083	0.079
H10	0.084	0.080
H11	0.083	0.080
H12	0.084	0.080

