Plate_layout	Strain	Well_id
96-1	2343	C3
96-1	3061	C4
96-1	3060	C5
96-1	2932	C6
96-1	Blank	C7
96-1	1691	C8
96-1	3062	C9
96-1	GB66	C10
96-1	2342	D3
96-1	GB117	D4
96-1	GB119	D5
96-1	2931	D6
96-1	Blank	D7
96-1	GB13	D8
96-1	2344	D9
96-1	3076	D10
96-1	3086	E3
96-1	3075	E4
96-1	3073	E5
96-1	1690	E6
96-1	124	E7
96-1	1952	E8
96-1	Blank	E9
96-1	3083	E10
48-1	3061	B2
48-1	GB117	B3
48-1	2931	B4
48-1	Blank	B5
48-1	2344	B6
48-1	1691	B7
48-1	3073	C2
48-1	GB66	C3
48-1	GB119	C4
48-1	2343	C5
48-1	3086	C6
48-1	1690	C7
48-1	3060	D2
48-1	3076	D3
48-1	GB13	D4
48-1	Blank	D5
48-1	Blank	D6
48-1	124	D7
48-1	1952	E2
48-1	2932	E3
48-1	3062	E4
48-1	3083	E5
48-1	3075	E6
48-1	2342	E7
48-2	GB13	B2
48-2	2344	B3
48-2	2931	B4
48-2	1691	B5
48-2	3075	B6
48-2	3061	B7
48-2	2932	C2
48-2	1952	C3
48-2	3083	C4
48-2	Blank	C5
48-2	GB117	C6
48-2	3062	C7
48-2	1690	D2
48-2	GB66	D3
48-2	Blank	D4
48-2	2342	D5
48-2	GB119	D6
48-2	124	D7
48-2	3073	E2
48-2	3086	E3
48-2	2343	E4
48-2	3076	E5
48-2	Blank	E6
48-2	3060	E7
48-3	Blank	B2
48-3	1952	B3
48-3	2343	B4
48-3	3061	B5
48-3	3076	B6
48-3	1690	B7
48-3	3075	C2
48-3	3060	C3
48-3	3062	C4
48-3	GB13	C5
48-3	2931	C6
48-3	GB119	C7
48-3	124	D2
48-3	GB66	D3
48-3	2344	D4
48-3	1691	D5
48-3	Blank	D6
48-3	2932	D7
48-3	3086	E2
48-3	2342	E3
48-3	3073	E4
48-3	3083	E5
48-3	GB117	E6
48-3	Blank	E7
