

Actual Temperature:	0.0



Actual Temperature:	0.0

Results

Well	Read 1:650	Read 2:750
A1	0.079	0.079
A2	0.083	0.083
A3	0.080	0.082
A4	0.081	0.081
A5	0.080	0.082
A6	0.079	0.082
A7	0.081	0.083
A8	0.084	0.086
B1	0.079	0.080
B2	0.094	0.095
B3	0.872	0.680
B4	1.356	0.858
B5	0.896	0.671
B6	1.038	0.778
B7	1.493	1.032
B8	0.080	0.082
C1	0.080	0.080
C2	0.481	0.655
C3	0.867	0.655
C4	1.304	1.061
C5	0.848	0.826
C6	1.069	0.850
C7	0.908	0.710
C8	0.079	0.081
D1	0.077	0.079
D2	1.428	0.892
D3	1.132	0.754
D4	1.018	0.868
D5	1.625	1.150
D6	0.117	0.118
D7	1.085	0.853
D8	0.082	0.083
E1	0.089	0.088
E2	1.437	1.316
E3	1.668	1.255
E4	0.818	0.776
E5	1.249	1.038
E6	1.173	1.056
E7	0.123	0.123
E8	0.080	0.081
F1	0.079	0.077
F2	0.079	0.078
F3	0.080	0.080
F4	0.079	0.078
F5	0.081	0.081
F6	0.080	0.080
F7	0.082	0.083
F8	0.082	0.082

