Plate_layout	Strain	Well_id
96-1	GB119	C10
96-1	3079	C3
96-1	GB57	F8
96-1	3061	C5
96-1	3063	C6
96-1	GB141	C7
96-1	1952	C8
96-1	3064	C9
96-1	3082	D10
96-1	3073	D3
96-1	3075	D4
96-1	GB117	D5
96-1	3083	D6
96-1	3060	D7
96-1	3062	D8
96-1	3071	D9
96-1	1690	E10
96-1	Blank	E3
96-1	3059	E4
96-1	3076	E5
96-1	2344	E6
96-1	2931	E7
96-1	1691	E8
96-1	3069	E9
96-1	GB49	F3
96-1	Blank	F4
96-1	GB13	F5
96-1	2343	F6
96-1	Blank	F7
48-1	3075	B2
48-1	GB117	B3
48-1	GB13	B4
48-1	Blank	B5
48-1	GB57	B6
48-1	Blank	B7
48-1	3063	C2
48-1	1690	C3
48-1	3071	C4
48-1	1691	C5
48-1	3062	C6
48-1	3069	C7
48-1	2343	D2
48-1	3061	D3
48-1	GB119	D4
48-1	2344	D5
48-1	3060	D6
48-1	3076	D7
48-1	1952	E2
48-1	3064	E3
48-1	Blank	E4
48-1	3073	E5
48-1	2931	E6
48-1	3083	E7
48-2	2931	B2
48-2	3076	B3
48-2	GB57	B4
48-2	Blank	B5
48-2	GB117	B6
48-2	3082	B7
48-2	GB141	C2
48-2	3079	C3
48-2	3063	C4
48-2	3062	C5
48-2	3071	C6
48-2	3075	C7
48-2	3064	D2
48-2	2344	D3
48-2	Blank	D4
48-2	1952	D5
48-2	3069	D6
48-2	1690	D7
48-2	3059	E2
48-2	GB119	E3
48-2	GB49	E4
48-2	3083	E5
48-2	Blank	E6
48-2	3060	E7
48-3	GB117	B2
48-3	3083	B3
48-3	GB141	B4
48-3	3064	B5
48-3	1952	B6
48-3	3071	B7
48-3	1690	C2
48-3	3062	C3
48-3	2343	C4
48-3	GB49	C5
48-3	3060	C6
48-3	3059	C7
48-3	3076	D2
48-3	3082	D3
48-3	3073	D4
48-3	GB57	D5
48-3	Blank	D6
48-3	3063	D7
48-3	Blank	E2
48-3	Blank	E3
48-3	3079	E4
48-3	GB13	E5
48-3	1691	E6
48-3	3061	E7
48-4	3082	B2
48-4	3079	B3
48-4	3059	B4
48-4	GB141	B5
48-4	GB49	B6
48-4	3073	B7
48-4	3061	C2
48-4	2343	C3
48-4	1691	C4
48-4	Blank	C5
48-4	GB13	C6
48-4	2931	C7
48-4	GB119	D2
48-4	Blank	D3
48-4	3069	D4
48-4	2344	D5
48-4	Blank	D6
48-4	3075	D7
