Strain	Region	Color	Latitude
1690	Massachusetts	#9E4338	42.37
1691	Massachusetts	#9E4338	42.37
1952	Minnesota	#72B1B2	45.02
2343	Florida	#BCBEC0	28.1
2344	Pennsylvania	#F26522	40.04
2931	North Carolina	#3B6C9D	35.97
3059	Quebec	#000000	45.28
3060	Quebec	#000000	45.28
3061	Quebec	#000000	45.28
3062	Quebec	#000000	45.28
3063	Quebec	#000000	45.28
3064	Quebec	#000000	45.28
3069	Quebec	#000000	45.28
3071	Quebec	#000000	45.28
3073	Quebec	#000000	45.28
3075	Quebec	#000000	45.41
3076	Quebec	#000000	45.41
3079	Quebec	#000000	45.41
3082	Quebec	#000000	45.41
3083	Quebec	#000000	45.41
GB117	Quebec	#000000	45.28
GB119	Quebec	#000000	45.28
GB13	Quebec	#000000	45.28
GB141	Quebec	#000000	45.28
GB49	Quebec	#000000	45.28
GB57	Quebec	#000000	45.28
